name,code,close,change_pct,macd,obv,rsi,trend,volume,score,stars
万泽股份,534,37.11,-3.28,空头,↓,45.8,下降,缩量,1,⭐
华工科技,988,103.54,3.19,空头,↑,37.8,下降,缩量,2,⭐⭐
汇绿生态,1267,40.41,1.69,空头,↑,44.2,下降,健康,3,⭐⭐⭐
德明利,1309,352.02,-2.26,死叉,↓,50.0,下降,缩量,1,⭐
航天电器,2025,60.65,0.05,死叉,↑,54.4,下降,缩量,2,⭐⭐
信立泰,2294,66.4,-2.78,多头,↓,68.5,下降,健康,3,⭐⭐⭐
杰瑞股份,2353,107.37,-0.58,金叉,↓,57.5,下降,健康,3,⭐⭐⭐
北方华创,2371,426.45,-2.64,空头,↓,41.2,下降,健康,2,⭐⭐
云南锗业,2428,51.71,8.86,多头,↑,61.6,下降,放量,4,⭐⭐⭐⭐
豪迈科技,2595,78.86,0.08,空头,↑,23.9,下降,缩量,1,⭐
海思科,2653,55.34,-4.34,多头,↓,66.5,下降,健康,3,⭐⭐⭐
世嘉科技,2796,50.59,10.0,空头,↑,38.2,下降,健康,3,⭐⭐⭐
鹏鼎控股,2938,50.87,-0.16,多头,↓,42.9,下降,健康,3,⭐⭐⭐
阳光电源,300274,123.32,-3.09,空头,↓,15.4,下降,健康,1,⭐
中际旭创,300308,606.52,4.21,多头,↑,58.2,下降,健康,4,⭐⭐⭐⭐
天孚通信,300394,333.86,3.43,空头,↑,56.3,下降,健康,3,⭐⭐⭐
胜宏科技,300476,263.68,2.57,空头,↑,35.6,下降,健康,3,⭐⭐⭐
新易盛,300502,455.3,1.75,多头,↑,58.8,下降,健康,4,⭐⭐⭐⭐
精测电子,300567,117.0,-0.66,空头,↓,36.1,下降,健康,2,⭐⭐
光库科技,300620,222.96,11.44,多头,↑,69.3,下降,健康,4,⭐⭐⭐⭐
佰维存储,300667,16.81,-5.46,多头,↓,46.2,下降,放量,3,⭐⭐⭐
罗博特科,300757,434.0,11.14,多头,↑,61.7,下降,健康,4,⭐⭐⭐⭐
康龙化成,300759,30.07,-1.8,多头,↓,61.0,下降,健康,3,⭐⭐⭐
金现代,300830,10.26,-2.84,空头,↓,26.8,下降,缩量,0,⚪
蘅东光,301252,35.3,-3.63,空头,↓,38.4,下降,缩量,1,⭐
恒瑞医药,600276,56.38,-1.73,多头,↓,52.2,下降,健康,3,⭐⭐⭐
中国动力,600482,32.8,1.67,空头,↑,52.0,下降,缩量,2,⭐⭐
泰豪科技,600590,13.47,-1.46,空头,↓,44.4,下降,缩量,1,⭐
东方电气,600875,36.86,-1.21,空头,↓,44.8,下降,缩量,1,⭐
工业富联,601138,52.18,0.35,多头,↑,48.4,下降,健康,4,⭐⭐⭐⭐
剑桥科技,603083,102.99,0.74,空头,↑,34.6,下降,健康,3,⭐⭐⭐
宏和科技,603256,68.0,-0.53,空头,↓,45.8,下降,健康,2,⭐⭐
药明康德,603259,99.99,-3.1,多头,↓,65.5,下降,健康,3,⭐⭐⭐
华懋科技,603306,83.31,0.68,金叉,↑,47.4,下降,健康,4,⭐⭐⭐⭐
应流股份,603308,63.3,-0.36,空头,↓,53.0,下降,健康,2,⭐⭐
长源东谷,603950,37.09,-7.25,空头,↓,23.4,下降,缩量,0,⚪
兆易创新,603986,249.1,0.85,空头,↑,29.0,下降,缩量,1,⭐
联德股份,605060,48.88,-0.27,空头,↓,30.9,下降,健康,2,⭐⭐
新炬网络,605398,26.45,-2.72,空头,↓,39.2,下降,健康,2,⭐⭐
长光华芯,688048,236.93,9.41,多头,↑,65.9,下降,健康,4,⭐⭐⭐⭐
拓荆科技,688072,357.52,0.15,多头,↑,54.2,下降,缩量,3,⭐⭐⭐
毕得医药,688073,58.69,-5.26,多头,↓,50.5,下降,健康,3,⭐⭐⭐
皓元医药,688131,69.72,-3.62,多头,↓,55.7,下降,健康,3,⭐⭐⭐
炬光科技,688167,391.14,4.4,多头,↑,63.0,下降,健康,4,⭐⭐⭐⭐
君实生物,688180,38.79,-0.18,多头,↓,77.8,下降,健康,2,⭐⭐
腾景科技,688195,338.93,19.22,多头,↑,72.9,下降,健康,3,⭐⭐⭐
德科立,688205,247.21,20.0,多头,↑,67.2,下降,健康,4,⭐⭐⭐⭐
百济神州,688235,239.29,-4.0,多头,↓,54.5,下降,健康,3,⭐⭐⭐
卓易信息,688258,108.66,-0.34,多头,↓,39.2,下降,缩量,2,⭐⭐
泽璟制药,688266,99.5,-2.64,多头,↓,72.5,下降,健康,2,⭐⭐
荣昌生物,688331,149.1,-0.55,多头,↓,77.6,下降,健康,2,⭐⭐
三生国健,688336,92.3,2.12,多头,↑,81.1,下降,放量,3,⭐⭐⭐
益方生物,688382,22.8,-2.56,多头,↓,63.2,下降,健康,3,⭐⭐⭐
嘉元科技,688388,41.21,-1.08,多头,↓,43.8,下降,缩量,2,⭐⭐
智翔金泰,688443,27.02,-1.67,多头,↓,52.5,下降,健康,3,⭐⭐⭐
源杰科技,688498,1085.0,4.93,空头,↑,60.6,下降,健康,3,⭐⭐⭐
百利天恒,688506,313.53,-1.96,多头,↓,68.0,下降,健康,3,⭐⭐⭐
航亚科技,688510,30.67,-1.03,空头,↓,31.5,下降,缩量,1,⭐
芯碁微装,688630,192.99,2.82,多头,↑,57.2,下降,健康,4,⭐⭐⭐⭐
