name,code,close,change_pct,macd,obv,rsi,trend,volume,score,stars,signal,ma20,ma60,sector
新易盛,300502.SZ,490.0,-2.293120638085743,金叉,↓,61.2,上升,正常,4,⭐⭐⭐⭐☆,买入,447.38,410.17,光模块
中际旭创,300308.SZ,693.02,0.7091580201703135,金叉,↑,69.6,上升,正常,4,⭐⭐⭐⭐☆,买入,597.08,583.53,光模块
天孚通信,300394.SZ,346.9,2.937685459940646,金叉,↑,61.7,上升,正常,4,⭐⭐⭐⭐☆,买入,317.05,280.7,光模块
阳光电源,300274.SZ,123.8,-2.512008819592092,死叉,↓,21.5,震荡,正常,1,⭐☆☆☆☆,卖出,154.44,155.84,储能
长飞光纤,601869.SH,398.31,9.999999999999993,金叉,↑,96.8,上升,正常,3,⭐⭐⭐☆☆,观察,277.92,205.94,光模块
源杰科技,688498.SH,1128.18,-0.7757255936675406,金叉,↓,62.6,上升,正常,4,⭐⭐⭐⭐☆,买入,1025.76,861.93,光模块
胜宏科技,300476.SZ,278.02,-2.749405344899963,金叉,↓,50.4,震荡,正常,3,⭐⭐⭐☆☆,观察,270.67,274.5,PCB
光库科技,300620.SZ,231.11,4.094225745428341,金叉,↑,80.7,上升,正常,3,⭐⭐⭐☆☆,观察,183.73,168.92,光模块
烽火通信,600498.SH,54.95,7.219512195121956,金叉,↑,67.3,上升,正常,4,⭐⭐⭐⭐☆,买入,48.4,45.65,光模块
华工科技,000988.SZ,114.93,4.093832080427507,死叉,↑,45.2,上升,正常,3,⭐⭐⭐☆☆,观察,111.52,94.5,其他
汇绿生态,001267.SZ,43.29,-2.279909706546271,死叉,↓,56.2,上升,正常,3,⭐⭐⭐☆☆,观察,40.98,32.94,光模块
北方华创,002371.SZ,472.84,1.9095650674597948,金叉,↑,52.9,下降,正常,3,⭐⭐⭐☆☆,观察,452.84,474.27,半导体设备
东山精密,002384.SZ,131.9,9.999166041197572,金叉,↑,65.5,上升,放量,5,⭐⭐⭐⭐⭐,买入,110.35,90.94,PCB
沪电股份,002463.SZ,85.84,2.105388366837172,金叉,↑,49.3,上升,正常,4,⭐⭐⭐⭐☆,买入,81.34,75.9,PCB
润泽科技,300442.SZ,87.29,0.43723392014728996,死叉,↑,46.3,N/A,正常,2,⭐⭐☆☆☆,观察,84.38,,数据中心
中科曙光,603019.SH,83.3,0.4825090470446217,金叉,↑,46.8,下降,正常,3,⭐⭐⭐☆☆,观察,82.71,87.91,服务器
海光信息,688041.SH,227.0,-0.6564551422319475,金叉,↓,52.9,下降,正常,3,⭐⭐⭐☆☆,观察,221.63,242.42,AI芯片
长光华芯,688048.SH,230.05,-3.6157197921903785,金叉,↓,63.6,上升,正常,4,⭐⭐⭐⭐☆,买入,205.74,162.01,光模块
腾景科技,688195.SH,331.1,-2.3303834808259523,金叉,↓,74.9,上升,正常,3,⭐⭐⭐☆☆,观察,269.97,227.82,光模块
仕佳光子,688313.SH,106.98,8.268393887258377,金叉,↑,71.6,震荡,正常,2,⭐⭐☆☆☆,观察,86.61,85.02,光器件
光迅科技,002281.SZ,108.09,10.004070832485242,金叉,↑,72.7,上升,正常,3,⭐⭐⭐☆☆,观察,87.44,78.29,光模块
鹏鼎控股,002938.SZ,55.6,1.7011157856228274,金叉,↑,56.4,下降,正常,3,⭐⭐⭐☆☆,观察,51.98,54.84,PCB
北京君正,300223.SZ,109.49,-2.865507452093687,死叉,↓,36.5,下降,正常,2,⭐⭐☆☆☆,观察,114.2,122.84,AI芯片
迈为股份,300751.SZ,213.0,-6.660823838737945,死叉,↓,39.7,下降,放量,2,⭐⭐☆☆☆,观察,250.98,268.74,光伏设备
罗博特科,300757.SZ,488.25,2.72891769062448,金叉,↑,79.3,上升,正常,3,⭐⭐⭐☆☆,观察,388.54,372.01,光模块
